년도,월,지역,차량통행속도
18,4,강서구,23.7
18,5,강서구,23.7
18,6,강서구,23.8
18,7,강서구,23.5
18,8,강서구,23.6
18,9,강서구,23.4
18,10,강서구,23.5
18,11,강서구,23.2
18,12,강서구,22.9
18,1,구로구,23.9
18,2,구로구,23.4
18,3,구로구,24.2
18,4,구로구,23.7
18,5,구로구,23.7
18,6,구로구,23.6
18,7,구로구,23.1
18,8,구로구,23.7
18,9,구로구,23.5
18,10,구로구,23.7
18,11,구로구,23.6
18,12,구로구,22.9
18,1,금천구,24.1
18,2,금천구,23.2
18,3,금천구,23.9
18,4,금천구,23.6
18,5,금천구,23.6
18,6,금천구,23.4
18,7,금천구,22.9
18,8,금천구,23.7
18,9,금천구,23.6
18,10,금천구,23.9
18,11,금천구,23.5
18,12,금천구,23
18,1,영등포구,24.3
18,2,영등포구,23.7
18,3,영등포구,24.2
18,4,영등포구,23.8
18,5,영등포구,23.8
18,6,영등포구,24
18,7,영등포구,23.4
18,8,영등포구,23.6
18,9,영등포구,23.8
18,10,영등포구,23.7
18,11,영등포구,23.6
18,12,영등포구,23.8
18,1,동작구,26.9
18,2,동작구,25.8
18,3,동작구,26.4
18,4,동작구,25.8
18,5,동작구,25.9
18,6,동작구,25.9
18,7,동작구,25.5
18,8,동작구,25.9
18,9,동작구,26
18,10,동작구,26.1
18,11,동작구,25.4
18,12,동작구,26.4
18,1,관악구,26.3
18,2,관악구,25.5
18,3,관악구,25.7
18,4,관악구,25.3
18,5,관악구,25.2
18,6,관악구,25.1
18,7,관악구,25
18,8,관악구,25.3
18,9,관악구,25.2
18,10,관악구,25.5
18,11,관악구,25.1
18,12,관악구,24.7
18,1,서초구,27.5
18,2,서초구,26.5
18,3,서초구,26.9
18,4,서초구,26.3
18,5,서초구,26.6
18,6,서초구,26.7
18,7,서초구,25.2
18,8,서초구,25.4
18,9,서초구,25.9
18,10,서초구,25.8
18,11,서초구,25.3
18,12,서초구,25.7
18,1,강남구,24.7
18,2,강남구,24.6
18,3,강남구,24.7
18,4,강남구,24.5
18,5,강남구,24.7
18,6,강남구,24.5
18,7,강남구,23.8
18,8,강남구,24.2
18,9,강남구,25.2
18,10,강남구,24.5
18,11,강남구,23.9
18,12,강남구,24.5
18,1,송파구,24.4
18,2,송파구,24.1
18,3,송파구,24.1
18,4,송파구,23.6
18,5,송파구,23.4
18,6,송파구,23.7
18,7,송파구,23.8
18,8,송파구,24
18,9,송파구,24.3
18,10,송파구,24
18,11,송파구,24.1
18,12,송파구,24.1
18,1,강동구,24.5
18,2,강동구,24.4
18,3,강동구,24.2
18,4,강동구,24
18,5,강동구,23.8
18,6,강동구,23.8
18,7,강동구,23.7
18,8,강동구,23.7
18,9,강동구,23.8
18,10,강동구,23.8
18,11,강동구,23.4
18,12,강동구,23.6
